10/16/2016,SW KRONER,11.5095,11.496,11.523
10/16/2016,NOR KRONER,12.412,12.3972,12.4268
10/16/2016,DAN KRONER,15.0746,15.0592,15.09
10/16/2016,IND RUPEE,1.5168,1.5152,1.5185
10/16/2016,HONGKONG DOLLAR,13.0537,13.0413,13.066
10/16/2016,SINGAPORE DOLLAR,73.4583,73.3755,73.5411
10/16/2016,SAUDI RIYAL,27.0013,26.9721,27.0304
10/16/2016,CHINESE YUAN,15.0693,15.0485,15.0902
10/16/2016,JPY (100),97.6858,97.5887,97.7829
10/16/2016,S FRANC,102.5723,102.4701,102.6745
10/16/2016,CAN $,76.6314,76.5561,76.7068
10/16/2016,STG POUND,124.1928,124.0561,124.3294
10/16/2016,EURO,112.26,112.1428,112.3772
10/16/2016,SA RAND,7.0759,7.0655,7.0863
10/16/2016,KES / USHS,33.7628,33.6815,33.8441
10/16/2016,KES / TSHS,21.5509,21.4812,21.6207
10/16/2016,KES / RWF,7.9634,7.9213,8.0055
10/16/2016,KES / BIF,16.5194,16.4051,16.6338
10/16/2016,AE DIRHAM,27.5784,27.5493,27.6074
10/16/2016,AUSTRALIAN $,76.4222,76.3246,76.5199
10/17/2016,US DOLLAR,101.2953,101.1994,101.3911
10/17/2016,SW KRONER,11.5095,11.496,11.523
10/17/2016,NOR KRONER,12.412,12.3972,12.4268
10/17/2016,DAN KRONER,15.0746,15.0592,15.09
10/17/2016,IND RUPEE,1.5168,1.5152,1.5185
10/17/2016,HONGKONG DOLLAR,13.0537,13.0413,13.066
10/17/2016,SINGAPORE DOLLAR,73.4583,73.3755,73.5411
10/17/2016,SAUDI RIYAL,27.0013,26.9721,27.0304
10/17/2016,CHINESE YUAN,15.0693,15.0485,15.0902
10/17/2016,JPY (100),97.6858,97.5887,97.7829
10/17/2016,S FRANC,102.5723,102.4701,102.6745
10/17/2016,CAN $,76.6314,76.5561,76.7068
10/17/2016,STG POUND,124.1928,124.0561,124.3294
10/17/2016,EURO,112.26,112.1428,112.3772
10/17/2016,SA RAND,7.0759,7.0655,7.0863
10/17/2016,KES / USHS,33.7628,33.6815,33.8441
10/17/2016,KES / TSHS,21.5509,21.4812,21.6207
10/17/2016,KES / RWF,7.9634,7.9213,8.0055
10/17/2016,KES / BIF,16.5194,16.4051,16.6338
10/17/2016,AE DIRHAM,27.5784,27.5493,27.6074
10/17/2016,AUSTRALIAN $,76.4222,76.3246,76.5199
10/18/2016,US DOLLAR,101.2953,101.1994,101.3911
10/18/2016,SW KRONER,11.5095,11.496,11.523
10/18/2016,NOR KRONER,12.412,12.3972,12.4268
10/18/2016,DAN KRONER,15.0746,15.0592,15.09
10/18/2016,IND RUPEE,1.5168,1.5152,1.5185
10/18/2016,HONGKONG DOLLAR,13.0537,13.0413,13.066
10/18/2016,SINGAPORE DOLLAR,73.4583,73.3755,73.5411
10/18/2016,SAUDI RIYAL,27.0013,26.9721,27.0304
10/18/2016,CHINESE YUAN,15.0693,15.0485,15.0902
10/18/2016,JPY (100),97.6858,97.5887,97.7829
10/18/2016,S FRANC,102.5723,102.4701,102.6745
10/18/2016,CAN $,76.6314,76.5561,76.7068
10/18/2016,STG POUND,124.1928,124.0561,124.3294
10/18/2016,EURO,112.26,112.1428,112.3772
10/18/2016,SA RAND,7.0759,7.0655,7.0863
10/18/2016,KES / USHS,33.7628,33.6815,33.8441
10/18/2016,KES / TSHS,21.5509,21.4812,21.6207
10/18/2016,KES / RWF,7.9634,7.9213,8.0055
10/18/2016,KES / BIF,16.5194,16.4051,16.6338
10/18/2016,AE DIRHAM,27.5784,27.5493,27.6074
10/18/2016,AUSTRALIAN $,76.4222,76.3246,76.5199
